ID,Pattern Name,Skill Level,Item Type,Yarn Type,Yarn Weight,Season,Description,Difficulty,Estimated Time
1,mini teddy bear plushie,beginner,plushie,acrylic,4,all_season,small cute teddy bear plushie perfect for beginners and quick gifting,easy,2-3 hours
2,color block sweater,beginner,wearable,wool_blend,4,winter,comfortable lightweight daily wear sweater suitable for beginners and can be made using one or multiple colors,moderate,4-7 days
3,granny square vest,intermediate,wearable,acrylic_blend,3,summer,lightweight crochet vest with a beach vibe suitable for casual wear and great for improving crochet skills,hard,2-5 days
4,sunflower keychain,beginner,accessory,cotton,2,all_season,quick and cute sunflower keychain ideal for beginners and gifting,easy,1 hour
5,ribbed/ponytail beanie,intermediate,wearable,wool_blend,4,winter,warm and flexible winter beanie that can be worn with or without a ponytail,moderate,5-6 hours
6,goose bag/tote bag,beginner,bag,cotton_blend,4,all_season,cute and durable crochet tote bag suitable for casual outings and beginner practice,moderate,2-4 days
7,hand sized octopus plush,beginner,plushie,acrylic,5,all_season,medium sized soft octopus plushie suitable for home decor or baby toys,easy,6-8 hours
8,granny square handbags,intermediate,bag,acrylic_blend,3,all_season,stylish granny square handbag suitable for carrying light daily essentials,moderate,2-3 days
9,strap sleeve fitted tops,intermediate,wearable,cotton_blend,3,summer,breathable cropped crochet top ideal for summer wear and a cute casual look,moderate,3-5 days
10,rectangle bookmarks with intricate details,intermediate,accessory,acrylic,2,all_season,detailed crochet bookmarks ideal for book lovers and practicing intricate stitch work,moderate,2-5 hours
11,mini dinosaur plushie,beginner,plushie,acrylic,3,all_season,"small and fun dinosaur plushie ideal for quick projects and gifting, easy",easy,2-3 hours
12,oversized winter scraf,beginner,accessory,wool,5,winter,thick and cozy oversized scarf perfect for cold weather and beginner friendly projects,easy,1 day
13,bucket hat,intermediate,wearable,cotton,3,summer,breathable crochet bucket hat ideal for sunny days and casual outfits,moderate,5-7 hours
14,baby booties,beginner,accessory,cotton,2,all_season,soft and comfortable baby booties suitable for gifting and beginner practice,easy,3-4 hours
15,mesh market bag,beginner,bag,cotton ,3,summer,lightweight and stretchy market bag ideal for groceries and everyday use in warm weather,easy,3-4 hours
16,patchwork cardigan,intermediate,wearable,acrylic_blend,4,winter,colorful patchwork cardigan made with multiple squares ideal for layering in winter,hard,5-7 days
17,drawstring pouch,beginner,accessory,cotton,2,all_season,small and handy drawstring pouch useful for storing essentials and quick beginner projects,easy,1-2 hours
18,crossbody sling bag,intermediate,bag,cotton_blend,4,all_season,practical crossbody bag suitable for carrying daily essentials with a comfortable strap,moderate,5-7 hours
19,floral headband,beginner,accessory,cotton,2,summer,cute floral headband perfect for summer outfits and quick gifting ideas,easy,1-2 hours
20,amigurumi whale plushie,intermediate,plushie,acrylic,5,all_season,medium sized whale plushie ideal for decor or gifts with slightly detailed shaping,moderate,5-7 hours
21,lace summer shawl,intermediate,wearable,cotton,2,summer,elegant lightweight shawl with lace patterns suitable for breezy summer evenings,hard,2-3 days
22,frog plushie toy,beginner,plushie,acrylic,4,all_season,soft and cute frog plushie perfect for gifting and beginner friendly toy making,easy,4-5 hours
23,laptop sleeve,intermediate,accessory,cotton_blend,4,all_season,protective crochet laptop sleeve designed for daily use and minimal style,moderate,5-7 hours
24,crochet floor pouf,intermediate,accessory,wool,6,winter,large and sturdy floor pouf suitable for home decor and comfortable seating,hard,2-4 days
25,fingerless gloves,beginner,accessory,wool,3,winter,warm and practical fingerless gloves ideal for beginners and winter use,easy,2-4 hours
26,structured handbag with flap,intermediate,bag,acrylic_blend,4,all_season,sturdy handbag with a flap closure suitable for outings and semi formal use,moderate,1-2 days
27,cat plushie pillow,intermediate,plushie,acrylic,5,all_season,medium sized cat plushie that can be used as a soft pillow or decor item,moderate,6-8 hours
28,halter neck top,intermediate,wearable,cotton,3,summer,stylish halter neck crochet top suitable for summer outings and beachwear,moderate,1-3 days
29,netted beach bag,beginner,bag,cotton,4,summer,airy and expandable beach bag ideal for carrying towels and summer essentials,easy,4-5 hours
30,granny square blanket,intermediate,accessory,acrylic,4,winter,cozy blanket made with multiple granny squares ideal for long term projects and home use,hard,7-10 days
31,penguin plushie,intermediate,plushie,acrylic,4,all_season,detailed penguin plushie suitable for decoration or gifting with neat shaping,moderate,5-7 hours
32,mini coin purse,beginner,accessory,cotton,2,all_season,compact coin purse perfect for storing small items and quick crochet practice,easy,1 hour
33,hooded scarf,intermediate,wearable,wool_blend,5,winter,combination of hood and scarf providing extra warmth and stylish winter layering,moderate,1-2 days
34,circular boho bag,intermediate,bag,cotton_blend,3,summer,stylish round boho bag perfect for casual outfits and summer outings,moderate,5-6 hours
35,crochet sandals,intermediate,wearable,cotton,3,summer,breathable and lightweight crochet sandals suitable for indoor or casual summer wear,moderate,6-8 hours
36,giant star plushie,intermediate,plushie,acrylic,6,all_season,large star plushie ideal for decor or comfort with thick yarn and bold structure,hard,1-2 days
37,hanging plant holder,beginner,accessory,cotton,3,all_season,decorative plant hanger ideal for indoor plants and beginner friendly home decor,easy,2-3 hours
38,textured cushion cover,intermediate,accessory,acrylic_blend,4,all_season,decorative cushion cover with textured stitches suitable for modern home decor,moderate,5-7 hours
39,longline cardigan,intermediate,wearable,wool_blend,4,winter,full length cozy cardigan suitable for layering during colder months,hard,5-8 days
40,strawberry drawstring bag,beginner,bag,cotton,3,summer,cute strawberry shaped drawstring bag ideal for small items and casual outings,easy,3-4 hours
